Index,Category,Claim
688,"Public authority actions, policy, and communications","A purported advisory has been shared repeatedly in multiple Facebook, Twitter and WhatsApp posts that claims a disinfectant will be sprayed into the air overnight in India in an effort to kill the novel coronavirus, COVID-19. The posts urge residents to remain indoors during the spraying.		"
689,"Public authority actions, policy, and communications","Indian City Bangalore Municipal Corp. requested people to stay at home and lock down houses as they will be spraying medicine to kill coronavirus.		"
690,"Public preparedness, protests, and civil disobedience","The UNHCR said ‘migrants and illegals’ in Malaysia were resisting COVID-19 testing.		"
691,Claims about prominent actors,"Javier Ortega Smith, from VOX, has said that he prefers to be infected by the new coronavirus than to “have homosexualism”.		"
692,Virus origin and properties,"Goats in Ajmer, Rajasthan were found to be COVID-19 positive.		"
693,Claims about prominent actors,"Indian cricketer Sachin Tendulkar asked for meat shops to be banned in lieu of COVID-19.		"
694,"Public authority actions, policy, and communications","COVID-19 passengers being disembarked at Senegal airport.		"
695,Claims about prominent actors,"In Ecuador, Maritza Frías, former director of the Teófilo Dávila Hospital in Machala, and Mauro Calle, former manager of this health center, concealed official figures of those infected.		"
696,"Public authority actions, policy, and communications","Coronavirus phase 4 involves war code.		"
697,Virus origin and properties,"COVID-19 is no worse than other outbreaks that have occurred in “every election year,” suggesting that the new coronavirus is being “hyped” to hurt President Donald Trump.		"
698,Medical advice and self-treatments,"Australian researchers have found that bananas can help prevent infection of COVID-19.		"
699,"Public authority actions, policy, and communications","A video shows Chinese police crackdown on suspected COVID-19 patients.		"
700,"Vaccines, medical treatments, and tests","A train carrying vaccines with the inscription “COVID-19.”		"
701,"Public authority actions, policy, and communications","Evidence Shows The WHO Director-General Overstated COVID-19 Fatality Rate		"
702,"Public authority actions, policy, and communications","Trump Is Promising To Send Americans Checks – Only After Checking People’s Social Media History.		"
703,Conspiracy theories,"5G Technology Believed To Have Caused coronavirus		"
704,"Public authority actions, policy, and communications","“Ministry of Health ITALY released a small video, HOW the virus spreads!!!… BEST VIDEO. Please see ..how innocently it spread. SOAP is the remedy CLEAN/ WASH ur Hands always”		"
705,"Public authority actions, policy, and communications","The viral video claims to show the visuals of China police personnel trying to control the patients allegedly suffering from the pandemic.		"
706,Medical advice and self-treatments,"Coronavirus can be cured by sniffing clove and camphor and by drinking water, the virus will go to the stomach and the acid in the stomach will kill the virus.		"
707,"Public authority actions, policy, and communications","As coronavirus outbreak surges, PM Narendra Modi has decided to facilitate fellow countrymen with free masks under the ‘Swacch Bharat’ scheme.		"
708,Conspiracy theories,"Chinese intelligence officer says the novel coronavirus as a biological weapon invented by China.		"
709,Community spread and impact,"Countries that are the most affected by the coronavirus are along the same latitude.		"
710,Conspiracy theories,"Clorox Already Knew About Coronavirus And Coronavirus Isn’t A New Virus.		"
711,,"If we want to protect ourselves from the coronavirus, we must back away from all the climate change efforts we’ve been making.		"
712,,"A video of a fire erupting inside a vehicle has been viewed hundreds of times on Facebook, Twitter and on messaging app Line in March 2020 alongside a claim it shows an explosion that was sparked by an alcohol-based disinfectant used during the novel coronavirus pandemic.                "
713,"Public authority actions, policy, and communications","All fruit and vegetable markets in the Indian city of Chennai and across the state of Tamil Nadu have been ordered to close in an effort to curb the spread of the novel coronavirus.		"
714,Claims about prominent actors,"Claim that an American soldier was intentionally spreading the novel coronavirus in Wuhan during the seventh CISM Military World Games in October 2019 with a video clip of a man purportedly smearing saliva on the handrail on a train.		"
715,"Public authority actions, policy, and communications","As the US government moved to approve a $2 trillion stimulus package to address the impact of the novel coronavirus outbreak, a short block of text outlining Canada’s alleged response to the outbreak flourished on social media.		"
716,"Public authority actions, policy, and communications","The Social Security System (SSS) in the Philippines “approved financial aid worth P20,000 for every member,” to assist those affected by the novel coronavirus pandemic.		"
717,Virus origin and properties,"“China is to blame because the culture where people eat bats and snakes and dogs and things like that, these viruses are transmitted from the animal to the people and that’s why China has been the source of a lot of these viruses like SARS, like MERS, the Swine Flu and now the coronavirus.”                "
718,"Public authority actions, policy, and communications","President Donald Trump tweeted, “I ordered the Treasury secretary to send checks to Americans! First however, we will go through your social media history from the last 4 years and search for any post with #NotMyPresident in it. I wouldn’t think of offending you with a check if I’m not your president! #MAGA”		"
719,Claims about prominent actors,"President Donald Trump said, “People are dying who have never died before.”		"
,,
721,Virus origin and properties,"2019 coronavirus can live for “up to 3 hours in the air, up to 4 hours on copper, up to 24 hours on cardboard up to 3 days on plastic and stainless steel.”		"
722,"Public authority actions, policy, and communications","Chennai municipal corporation has asked all vegetable and fruit markets to shut down.		"
723,"Public authority actions, policy, and communications","Evidence shows the WHO director-general overstated COVID-19 fatality rate		"
724,Conspiracy theories,"5G Technology believed to have caused the coronavirus.		"
725,Claims about prominent actors,"In Ecuador, Maritza Frías, former director of the Teófilo Dávila Hospital in Machala, and Mauro Calle, former manager of this health center, concealed official figures of those infected.		"
726,"Public authority actions, policy, and communications","Coronavirus phase 4 involves war code.		"
727,Claims about prominent actors,"American fast-food chain Hardee’s is advising truckers to walk up to drive-thrus during coronavirus pandemic.		"
728,"Public authority actions, policy, and communications","Philippine Vice President Leni Robredo says bats are the “enemy” in the novel coronavirus pandemic.		"
729,"Public authority actions, policy, and communications","The Indian government is distributing free face masks.		"
730,"Public authority actions, policy, and communications","The Australian prime minister is about to announce a national lockdown.		"
731,Community spread and impact,"This photo shows a Sri Lankan airline pilot who tested positive for the novel coronavirus.		"
732,Community spread and impact,"Staff of two Mumbai hotels have COVID-positive cases.		"
733,"Public authority actions, policy, and communications","President Donald Trump announced a vaccine by Roche Diagnostics.		"
734,Claims about prominent actors,"Narendra Modi is giving free masks in India.		"
735,"Public authority actions, policy, and communications","Coronavirus patients were being arrested in Punjab, India.		"
736,Community spread and impact,"Three thousand Ecuadorians are infected with coronavirus.		"
737,Community spread and impact,"Coronavirus will not be covered by private health insurance in Ecuador.		"
738,"Public authority actions, policy, and communications","The WHO approves anti-malarial drug Chloroquine for COVID-19.		"
739,Medical advice and self-treatments,"Traditional cures and self-checks for the coronavirus.		"
740,"Vaccines, medical treatments, and tests","A dog vaccine can be used against coronavirus in people.		"
741,Medical advice and self-treatments,"15 minutes in a sauna will kill the coronavirus.		"
742,Medical advice and self-treatments,"Eating bananas prevents coronavirus.		"
743,"Public authority actions, policy, and communications","Italy has mandated no treatment of all elderly patients for coronavirus.		"
744,"Public authority actions, policy, and communications","All U.S. citizens are entitled to $700 per week to stay at home to avoid spread of coronavirus.		"
,,
746,Conspiracy theories,"COVID-19 is a scripted narrative to justify closed borders or force residents to remain home.		"
747,"Public authority actions, policy, and communications","Italy official Giulio Gallera: China lies to us. The date China provided is false. Italy has become Wuhan and the medical system has a breakdown.		"
748,Medical advice and self-treatments,"Coronil drops can help cure coronavirus.		"
749,"Public authority actions, policy, and communications","Police asked shops selling alcohol to restrict opening hours on St. Patrick’s Day to lower the risk of house parties where coronavirus could be spread.		"
750,"Public authority actions, policy, and communications","Video shows Chinese police crackdown on coronavirus patients.		"
751,"Public authority actions, policy, and communications","A graphic has been shared in multiple posts on Facebook alongside a claim it contains a quote from Philippine Vice President Leni Robredo that bats are the “enemy” in the novel coronavirus pandemic. The graphic is attributed to Inquirer.net, a Philippine media outlet.		"
752,"Public authority actions, policy, and communications","A flyer offers official advice about the novel coronavirus from a Veterans Affairs (VA) healthcare system in the U.S. state of Oregon.		"
753,Community spread and impact,"A photo of a room lined with coffins shows Italian nationals killed during the novel coronavirus pandemic in 2020.		"
754,Community spread and impact,"14 University of Nairobi students have tested positive for COVID-19.		"
755,"Public authority actions, policy, and communications","Senator of the Philippines Risa Hontiveros says she is “ready to get coughed on,” and that “the police and military are more frightening than dying from the virus.”		"
756,"Public authority actions, policy, and communications","Philippines Vice President Leni Robredo says “bats, not the virus, are our enemy.”		"
757,"Public authority actions, policy, and communications","The WHO coronavirus test “was a bad test.”		"
758,"Public authority actions, policy, and communications","“All U.S. citizens are entitled to $700 USD per week to stay at home to avoid the spread of COVID-19 novel coronavirus, starting 3/17/20.”		"
760,"Public preparedness, protests, and civil disobedience","“People are going door to door in Colorado Springs stating they are COVID-19 testing so they can rob people!”		"
761,Community spread and impact,"“U.S. deaths since 1/22/20: COVID-19, 27; flu, 4,700; abortion, 118,000.”		"
762,"Public authority actions, policy, and communications","Says it was “unquestionably” not within his “legal authority” to postpone Illinois’ primary election by changing the date or shifting to vote-by-mail.		"
763,Medical advice and self-treatments,"Novel coronavirus can be eliminated by drinking lots of water and gargling with warm water mixed with salt or vinegar.		"
764,"Public authority actions, policy, and communications","President Trump’s use of data for deaths from swine flu and seasonal flu.		"
765,Virus transmission,"Having a beard increases your chances of getting coronavirus.		"
766,Medical advice and self-treatments,"Taking a hot bath, breathing in hot steam or using a hand dryer to blow hot air up the nose are effective ways to prevent COVID-19, according to a lecturer in health sciences faculty at Ghanaian university.		"
767,Conspiracy theories,"An image shows a train transporting the COVID-19 virus.		"
768,"Public authority actions, policy, and communications","Philippine Vice President Leni Robredo says bats are the “enemy” in the novel coronavirus pandemic.		"
769,Community spread and impact,"3,000 Ecuadorians are infected with coronavirus.		"
770,Community spread and impact,"Coronavirus will not be covered by private health insurance in Ecuador.		"
771,"Public authority actions, policy, and communications","“While all COVID-19 news has been going on, the U.S. government has been sneakily trying to remove end-to-end encryption” which means “the government will be able to see all of your messages and listen to all of your calls.”		"
772,"Public authority actions, policy, and communications","Did Donald Trump attempt to steal a COVID-19 vaccine from a German company and refuse testing kits from WHO?		"
773,"Public authority actions, policy, and communications","Clinics in the Philippines are turning away people with COVID-19 symptoms, because of a advisory from the department of health.		"
774,Medical advice and self-treatments,"Red soap and white handkerchiefs are good against the coronavirus.		"
775,"Vaccines, medical treatments, and tests","Israel allegedly developed a COVID-19 vaccine.		"
776,Claims about prominent actors,"A video on Facebook and YouTube purports to show billionaire businessman Jack Ma praising China’s response to the outbreak of the novel coronavirus.		"
777,Virus transmission,"Indian industrialist tweets that a specific mask can kill viruses.		"
778,Claims about prominent actors,"Cristiano Ronaldo’s hotels to be turned into quarantine centres in Portugal.		"
779,"Public authority actions, policy, and communications","Chinese police crack down on suspected coronavirus patients.		"
780,Conspiracy theories,"Nostradamus predicted COVID-19.		"
781,"Public authority actions, policy, and communications","Italian doctors recommend taking off shoes when you get home.		"
782,Claims about prominent actors,"Christine Lagarde says the elderly are living too long.		"
783,"Public authority actions, policy, and communications","Ecuadorean President Lenin Moreno and family quarantined in luxury Galapagos home.		"
784,Claims about prominent actors,"President Donald Trump in the next 48 to 72 hours will impose a nationwide “mandatory quarantine.”		"
785,Medical advice and self-treatments,"Gargling water with salt or vinegar “eliminates” the coronavirus.		"
786,Medical advice and self-treatments,"Coronavirus pneumonia is similar to a dry cough and hot weather, garlic and hot water are remedies for COVID-19.		"
787,"Vaccines, medical treatments, and tests","Claims of cures for COVID-19 from multiple countries.		"
788,Community spread and impact,"35 Italians tourists don’t want to leave Ethiopia and go back in Italy because of the coronavirus.		"
789,Claims about prominent actors,"All baby formula providers are shipping formula for free during the coronavirus outbreak.		"
790,"Public authority actions, policy, and communications","Coronavirus Outbreak Prompted Gun And Ammunition Policy Changes At Walmart.		"
791,Community spread and impact,"Dallas student celebrating spring break collapses from coronavirus.		"
792,Virus origin and properties,"Coronavirus is the least deadly virus.		"
793,Claims about prominent actors,"Cristiano Ronaldo is turning his hotels into hospitals to fight coronavirus.		"
794,"Public authority actions, policy, and communications","WalMart reducing hours of operation.		"
795,Conspiracy theories,"Tanker train marked with “COVID-19” on its side.		"
796,Medical advice and self-treatments,"CDC warns people that morel mushroom increases coronavirus risk by 200%.		"
797,Medical advice and self-treatments,"Turmeric And Lemon Help Fight Against Coronavirus.		"
798,"Public authority actions, policy, and communications","A military Humvee labeled “COVID-19 quarantine team” was on Interstate 696 in Michigan.		"
799,Claims about prominent actors,"President Donald Trump is “announcing tomorrow that the U.S. is going into quarantine for the next 14 days.”		"
800,Claims about prominent actors,"President Donald Trump “will evoke (sic) what is called the Stafford act” and “order a two week mandatory quarantine for the nation.”		"
801,Claims about prominent actors,"“Now, as it stands, our health care system has adequate ventilators, ICU beds, medical professionals.”		"
802,Claims about prominent actors,"Claim that Dr. Anthony Fauci’s statement that the coronavirus death rate is 10 times that of the seasonal flu is “a claim without any scientific basis.”		"
803,Medical advice and self-treatments,"“Sunlight actually can kill the [novel coronavirus].”		"
804,"Public authority actions, policy, and communications","Video shows problems faced by Chinese police while catching coronavirus-infected people.		"
805,"Vaccines, medical treatments, and tests","Flu vaccine increases coronavirus risk 36%, says military study.		"
806,Claims about prominent actors,"A video on Facebook and YouTube purports to show billionaire businessman Jack Ma praising China’s response to the outbreak of the novel coronavirus.		"
807,Conspiracy theories,"Nostradamus predicted COVID-19.		"
808,Medical advice and self-treatments,"Italian doctors recommend taking off shoes when you get home.		"
809,Claims about prominent actors,"Christine Lagarde says the elderly are living too long.		"
810,Claims about prominent actors,"Ecuadorian President Lenin Moreno and family quarantined in luxury Galapagos home.		"
811,Conspiracy theories,"No evidence that 5G is being forcibly installed in schools.		"
812,"Public authority actions, policy, and communications","The government is closing businesses to stop the spread of coronavirus even though “the numbers are nothing compared to H1N1 or Ebola. Everyone needs to realize our government is up to something …”		"
813,Community spread and impact,"Photos show animals returning to clear Venice canals.		"
814,"Vaccines, medical treatments, and tests","A charitable hospital in Pakistan charged patients for novel coronavirus tests.		"
815,Claims about prominent actors,"Claim that football star Cristiano Ronaldo has converted his hotel chain into coronavirus hospitals.		"
816,Virus origin and properties,"The novel coronavirus is not new.		"
817,"Public authority actions, policy, and communications","Ugandan president announces the postponement of elections.		"
818,Virus transmission,"A video shows how the coronavirus is transmitted between people		"
819,Conspiracy theories,"Chinese intelligence officer reveals coronavirus is a bioweapon.		"
820,"Public preparedness, protests, and civil disobedience","Indian Daily Reports That Wife Of A Positive Patient Ran Away, did not comply with the authorities and tested positive.		"
821,Community spread and impact,"Audio claiming India would be put under a complete lockdown.		"
822,Medical advice and self-treatments,"A meme posted offers mixed advice — some true, some false — about coronavirus protection.		"
823,Medical advice and self-treatments,"Four young people have been hospitalized with coronavirus, exacerbated by the use of Ibuprofen.		"
824,Claims about prominent actors,"“Bill Gates told us about the coronavirus in 2015.”		"
825,"Public authority actions, policy, and communications","Graphics with information about COVID-19 containing UNICEF branding and inaccurate information.		"
826,"Public authority actions, policy, and communications","A situation update allegedly from Kenya’s Citizen TV stating the number of COVID-19 cases.		"
827,Conspiracy theories,"A meme shows an image of fully stocked shelves of toilet paper, purportedly during the 2009 H1N1 outbreak, above barren shelves during the ongoing COVID-19 pandemic.		"
828,Medical advice and self-treatments,"A video viewed more than 2.4 million times on Facebook urges people to inhale steam to “kill” the novel coronavirus.		"
829,"Public authority actions, policy, and communications","A video has been viewed thousands of times in multiple posts on Facebook, Twitter and YouTube which claim it shows Chinese police arresting people infected with the novel coronavirus.		"
830,Medical advice and self-treatments,"Research made by scientists from the University of Queensland in Australia has proven that bananas improve your immune system and help prevent COVID-19.		"
831,"Vaccines, medical treatments, and tests","The WHO offered the testing kits that they have available and to give it to us now. We refused them. We did not want to buy them.”		"
832,Claims about prominent actors,"President Donald Trump “cut funding to the CDC,” “fired the Pandemic Response Team,” “refused WHO tests” and “wasted two weeks calling this outbreak a ‘Democrat hoax.’”		"
833,"Vaccines, medical treatments, and tests","The claim that there is a cure from the new coronavirus. The name of the drug is decametoxine.		"
834,Virus origin and properties,"“COVID-19 started because we eat animals.”		"
835,Claims about prominent actors,"“George Soros owns the WuXi PHARMA LAB located in Wuhan, China, where COVID-19 was developed and conveniently broke out.”		"
836,Virus origin and properties,"Coronavirus is just “the damn flu.”		"
837,Claims about prominent actors,"“So Oscar Health, the company tapped by Trump to profit from covid tests, is a Kushner company. Imagine that, profits over national safety.”		"
838,Community spread and impact,"Says businesses will give you free baby formula during the coronavirus outbreak.		"
839,Claims about prominent actors,"Footballer Ronaldo is turning his hotels into COVID-19 hospitals.		"
840,Virus transmission,"No coronavirus in Nigeria yet, according to pastor.		"
841,Claims about prominent actors,"Cristiano Ronaldo is going to transform his hotels into hospitals.		"
842,Virus origin and properties,"Did genetic mutations cause the coronavirus to become more dangerous.		"
843,Medical advice and self-treatments,"A graphic claims that gargling warm water with salt or vinegar can eliminate the novel coronavirus.		"
844,Claims about prominent actors,"Cristiano Ronaldo will convert his hotels into coronavirus hospitals.		"
845,"Public authority actions, policy, and communications","Curfew issued for Bossier city due to coronavirus.		"
846,Conspiracy theories,"CEO Resignations Are Linked To Global Conspiracy.		"
847,Virus origin and properties,"Coronavirus is found in crab legs.		"
848,"Public authority actions, policy, and communications","Military on streets of Philadelphia preparing to invoke martial law and bring citizens to FEMA camps.		"
849,Virus origin and properties,"Article overstates threat of coronavirus.		"
850,Medical advice and self-treatments,"Drinking lots of water and gargling with warm water and salt or vinegar eliminates the novel coronavirus. Spread the information as you can save someone.		"
851,"Public authority actions, policy, and communications","Ireland is going into a full lockdown.		"
852,Conspiracy theories,"A post shows a rail freight tanker with “COVID-19” stamped on one side.		"
853,Medical advice and self-treatments,"A graphic has been shared thousands of times on Facebook which claims that gargling warm water with salt or vinegar can eliminate the novel coronavirus, COVID-19.		"
854,Medical advice and self-treatments,"Gargling salt with water “eliminates” the 2019 novel coronavirus.		"
855,Claims about prominent actors,"Former senator Antonio Trillanes IV allegedly posted a tweet saying that President Rodrigo Duterte is to blame for calamities the country has been facing, including the novel coronavirus pandemic.		"
856,Conspiracy theories,"Astrologers had predicted the appearance of a coronavirus in 2020.		"
857,"Public authority actions, policy, and communications","“Italy has decided not to treat their elderly for this virus.”		"
858,Community spread and impact,"Says that “over a 45-minute period that we had the press conference” on the coronavirus on March 13, 2020, the stock market set “an all-time record.”		"
859,"Vaccines, medical treatments, and tests","A Cuban vaccine cured 1.500 people infected with the new coronavirus.		"
860,Medical advice and self-treatments,"Warm water with salt prevents the new coronavirus infection, killing it in the throat.		"
861,Conspiracy theories,"The Simpsons had already predicted the coronavirus pandemic.		"
862,Medical advice and self-treatments,"Gargling warm salt water or vinegar prevents coronavirus infection.		"
863,Medical advice and self-treatments,"If you drink water with lemon, it prevents the new coronavirus.		"
864,Community spread and impact,"LGBTQ people in the US are demanding to be treated first for coronavirus.		"
865,Medical advice and self-treatments,"Claim from an “uncle” who “graduated with a master’s degree” and worked at Shenzhen Hospital offers advice on COVID-19 symptoms and treatment.		"
866,"Public authority actions, policy, and communications","False COVID-19 hotline number shared in Canada.		"
867,"Vaccines, medical treatments, and tests","Israel has no cases of the coronavirus because it developed a cure.		"
868,Conspiracy theories,"Books predicted the coronavirus before it happened.		"
869,"Public authority actions, policy, and communications","India announced holidays for four states.		"
870,"Vaccines, medical treatments, and tests","Israel and USA have come up with a vaccine.		"
871,Virus origin and properties,"A misleading chart being spread on Facebook, erroneously dubbing the new coronavirus the “least deadly virus.”		"
872,"Public authority actions, policy, and communications","Indian Ministry of Health and Family Welfare issued an office memorandum declaring compulsory holiday in four Indian states.		"
873,"Public preparedness, protests, and civil disobedience","People are panicked about a COVID-19 case at the Dakar Airport.		"
874,Claims about prominent actors,"Saddam Hussein explaining what is coronavirus about.		"
875,Conspiracy theories,"The coronavirus scare began after impeachment.		"
876,Conspiracy theories,"Supermarkets are recalling coronavirus-infected toilet paper.		"
877,Conspiracy theories,"Man did pass along coronavirus infection at a WalMart in Louisiana.		"
878,"Public authority actions, policy, and communications","NYC did implement a citywide quarantine.		"
879,Conspiracy theories,"Israel has manufactured the coronavirus vaccine		"
880,"Public authority actions, policy, and communications","Central government has announced blanket holiday for schools/colleges in 4 states in India.		"
881,"Public authority actions, policy, and communications","The health service in Ireland is asking people to stockpile food.		"
882,"Public authority actions, policy, and communications","Ireland is going into a ‘Status Red’ lockdown with the military patrolling the streets.		"
883,Virus transmission,"COVID-19 Breeds Rapidly In Toilet Paper.		"
884,Claims about prominent actors,"Staff of Gold Coast Hospital in Australia has gifted a volleyball to Tom Hanks in quarantine.		"
885,Virus origin and properties,"An infographic has been shared thousands of times in multiple Facebook posts which claim it shows a nine-day timeline of the symptoms of the novel coronavirus.		"
886,Community spread and impact,"A post shared more than 165,000 times on Facebook includes a video of a woman turning a baby wipe into a face mask to “protect against coronavirus.”		"
887,Conspiracy theories,"Eleven coronavirus patients visited malls and hotels in Metro Manila that are part of a “confidential list.”		"
888,"Vaccines, medical treatments, and tests","A vaccine for the 2019 novel coronavirus has been found and there will be no more deaths due to the coronavirus.		"
889,"Public authority actions, policy, and communications","“It’s actually the safest time to fly.”		"
890,Medical advice and self-treatments,"Drinking “water a lot and gargling with warm water and salt or vinegar eliminates” the coronavirus.		"
891,"Public authority actions, policy, and communications","In South Florida “all children and adults must remain in their homes” due to coronavirus.		"
892,Claims about prominent actors,"“President Trump, COVID-19 coronavirus: U.S. cases 1,329; U.S. deaths, 38; panic level: mass hysteria. President Obama, H1N1 virus: U.S. cases, 60.8 million; U.S. deaths, 12,469; panic level: totally chill. Do you all see how the media can manipulate your life.”		"
893,Conspiracy theories,"Says The New York Times exposed the “real reason behind coronavirus hype: Crash the market to harm Trump’s re-election chances.”		"
894,Community spread and impact,"Picture shows the Mecca totally empty.		"
895,Claims about prominent actors,"Saddam Hussein explains what coronavirus is about.		"
896,Medical advice and self-treatments,"A post says that if you hold your breath you can tell if you are infected with Covid-19 or not.		"
897,Conspiracy theories,"Claim that disease outbreaks and pandemics correspond with election years.		"
898,Claims about prominent actors,"Photo purportedly showing Tom Hanks holding a volleyball, claiming the hospital staff in Australia gave it to him as a tribute and to cheer him up while in quarantine.		"
899,Conspiracy theories,"Infographic claiming that the coronavirus pandemic fits a pattern of viral outbreaks that occur every 100 years.		"
900,Community spread and impact,"Photos show empty shelves at supermarkets.		"
901,Community spread and impact,"A video purports to show body bags for virus victims in Italy.		"
902,Medical advice and self-treatments,"News channels suggest drinking tulsi and noni juice will help prevent the novel coronavirus.		"
903,Community spread and impact,"KFC San Marino Shopping (Guayaquil, Ecuador) employee with COVID-19.		"
904,Claims about prominent actors,"Jair Bolsonaro tested positive for COVID-19.		"
905,"Public authority actions, policy, and communications","Policemen in China chase COVID-19 in a subway station.		"
906,Medical advice and self-treatments,"UNICEF’s advice on preventing COVID-19		"
907,Community spread and impact,"OMS staff member is spreading coronavirus on purpose.		"
908,"Public authority actions, policy, and communications","The U.S. presidential election is canceled due to coronavirus.		"
909,Claims about prominent actors,"Australian hospital staff rolled in a Wilson volleyball to keep Tom Hanks company in quarantine.		"
910,Virus origin and properties,"A former and controversial CIA officer said coronavirus was made in a lab.		"
911,Medical advice and self-treatments,"Turmeric and lemon can cure the coronavirus.		"
912,Medical advice and self-treatments,"Drinking water every 15 minutes will protect you from getting coronavirus.		"
913,Medical advice and self-treatments,"You can check for coronavirus by holding your breath for 10 seconds.		"
914,Claims about prominent actors,"Says Tom Hanks has a volleyball to keep him company while he’s quarantined.		"
915,"Public authority actions, policy, and communications","Of the Trump administration’s European travel restrictions that exempt the U.K.: “Well, you can just get into the Chunnel, and you’ll be in the U.K.”		"
916,Medical advice and self-treatments,"A video has been viewed hundreds of thousands of times on Facebook, Twitter and YouTube alongside a claim it shows a shaman curing a novel coronavirus patient in Malaysia.		"
917,Virus transmission,"A fake quote of Vice President Leni Robredo suggesting to “inhale cough back” to prevent the spread of the 2019 novel coronavirus.		"
918,"Vaccines, medical treatments, and tests","If you donate blood, “they HAVE to test you” for coronavirus.		"
919,Claims about prominent actors,"“During the 2009 swine flu outbreak, Biden made reckless comments unsupported by science & the experts. The Obama Admin had to clean up his mess & apologize for his ineptitude.”		"
920,Claims about prominent actors,"Donald Trump claims Joe Biden “was in charge of the H1N1 Swine Flu epidemic which killed thousands of people. The response was one of the worst on record. Our response is one of the best, with fast action of border closings and a 78% approval rating, the highest on record. His was lowest!”		"
921,Claims about prominent actors,"Says Nancy Pelosi was “caught trying to include abortion funding in bill to combat coronavirus.”		"
922,Conspiracy theories,"In 2007, “The Simpsons” predicted Tom Hanks would contract coronavirus in 2007.		"
923,"Public authority actions, policy, and communications","“The CDC can detain anyone with a fever indefinitely. Vaccination (is) a way people could get out of detention.”		"
924,Virus origin and properties,"COVID-19 came to the United States in 2019.		"
925,Medical advice and self-treatments,"Saint Luke’s Hospital of the USA says consuming alcohol can reduce the risk of COVID-19.		"
926,Community spread and impact,"KFC San Marino Shopping (Guayaquil, Ecuador) employee with COVID-19.		"
927,Claims about prominent actors,"Jair Bolsonaro tested positive for COVID-19.		"
928,"Public authority actions, policy, and communications","Policemen in China chase COVID-19 in a subway station.		"
929,Medical advice and self-treatments,"UNICEF’s advice on preventing COVID-19		"
930,Community spread and impact,"Photo of vegan food products left on otherwise bare supermarket shelf is related to COVID-19 outbreak and panic buying.		"
931,Virus origin and properties,"Chart compares COVID-19 with other longstanding diseases.		"
932,Claims about prominent actors,"Actor Daniel Radcliffe tested positive for covid-19.		"
933,Community spread and impact,"Quito is the second city with the highest probability of infection.		"
934,"Vaccines, medical treatments, and tests","Anti-Malaria Drug Chloroquine Is A Cure For Coronavirus.		"
935,"Public preparedness, protests, and civil disobedience","Racist scene against Chinese people in the metro in Belgium.		"
936,"Public preparedness, protests, and civil disobedience","Demonstrations against Chinese people in Italy.		"
937,Conspiracy theories,"Coronavirus found in toilet paper.		"
938,Medical advice and self-treatments,"Gargling salt water and vinegar will kill the virus.		"
939,Conspiracy theories,"A video claims to show coronavirus being extracted from a man’s upper lip.		"
940,"Public authority actions, policy, and communications","Uganda did not deport 19 passengers from high-risk COVID-19 countries.		"
941,Virus origin and properties,"American CDC admitted that coronavirus originated in the U.S. Many COVID-19 patients were misdiagnosed as coronavirus.		"
942,Virus origin and properties,"Coronavirus dies at a temperature above 26-27 degrees Celsius as per UNICEF.		"
943,Claims about prominent actors,"Indian yoga guru Baba Ramdev has been infected with coronavirus.		"
944,Community spread and impact,"“NYC man drops dead in middle of street — suspected coronavirus!”		"
945,"Public authority actions, policy, and communications","The health insurance industry has “agreed to waive all co-payments for coronavirus treatments.”		"
946,Claims about prominent actors,"“MSNBC actually said on air ‘I hope enough people die from coronavirus that it harms Trump’s re-election.’”		"
947,Community spread and impact,"Panic scene in Germany with people rushing into a supermarket.		"
950,Claims about prominent actors,"Actor Daniel Radcliffe tested positive for COVID-19.		"
951,Community spread and impact,"Quito is the second city with the highest probability of infection.		"
952,"Public authority actions, policy, and communications","Purported government advisory lists shopping malls and hotels in the Philippines that the department of health advises against visiting during the novel coronavirus epidemic.		"
953,Claims about prominent actors,"Video shows a WHO official inappropriately touching a female attendee during a briefing session in China about the novel coronavirus outbreak in Wuhan. Same video was also used with another claim that the man is an Australian politician.		"
954,Claims about prominent actors,"Senegalese president and government appears with masks during a press conference.		"
955,Conspiracy theories,"Every U.S. election year has a disease outbreak.		"
956,Community spread and impact,"10,000 deaths In virus outbreak in Michigan, Washington, Idaho, North Dakota, Missouri, Mississippi.		"
957,Claims about prominent actors,"Tweet says Daniel Radcliffe has the coronavirus.		"
958,Claims about prominent actors,"Post says Harvard scientists say the coronavirus is “spreading so fast that it will infect 70% of humanity this year.”		"
959,Claims about prominent actors,"Many critics of President Rodrigo Duterte slammed his administration for “slashing” P10 billion from the funds allocated for the Department of Health (DOH) in the 2020 national budget.		"
960,Medical advice and self-treatments,"You can monitor yourself for COVID-19 with a breath test.		"
961,Medical advice and self-treatments,"UNICEF ??advises not to eat ice cream because it reinforces infection with the new coronavirus.		"
962,"Vaccines, medical treatments, and tests","First patient healed in Algeria.		"
963,Community spread and impact,"Does Mexico have confirmed cases of COVID-19?		"
964,"Vaccines, medical treatments, and tests","Anti-malaria drug Chloroquine is a definitive cure for COVID-19.		"
965,Conspiracy theories,"Costco recalls toilet paper because it’s infected with the coronavirus.		"
966,"Vaccines, medical treatments, and tests","Donating blood in the U.S. can get you a novel coronavirus test.		"
967,Community spread and impact,"Employer covered up part of a poster on virus prevention that advised people to stay home when sick.		"
