,Claim,Keywords
680,President Donald Trump said   People are dying who have never died before    ,"['president', 'donald', 'trump', 'said', 'people', 'dying', 'never', 'died']"
681,     coronavirus can live for  up to   hours in the air  up to   hours on copper  up to    hours on cardboard up to   days on plastic and stainless steel    ,"['coronavirus', 'live', 'hour', 'hour', 'copper', 'hour', 'cardboard', 'plastic', 'stainless', 'steel']"
682,Chennai municipal corporation has asked all vegetable and fruit markets to shut down   ,"['chennai', 'municipal', 'corporation', 'asked', 'vegetable', 'fruit', 'market', 'shut']"
683,Evidence shows the WHO director general overstated COVID    fatality rate  ,"['evidence', 'show', 'director', 'general', 'overstated', 'covid', 'fatality', 'rate']"
684, G Technology believed to have caused the coronavirus   ,"['technology', 'believed', 'caused', 'coronavirus']"
685,American fast food chain Hardee s is advising truckers to walk up to drive thrus during coronavirus pandemic   ,"['american', 'fast', 'food', 'chain', 'hardee', 'advising', 'trucker', 'walk', 'drive', 'thrus', 'coronavirus', 'pandemic']"
686,The Indian government is distributing free face masks   ,"['indian', 'government', 'distributing', 'free', 'face', 'mask']"
687,The Australian prime minister is about to announce a national lockdown   ,"['australian', 'prime', 'minister', 'announce', 'national', 'lockdown']"
688,This photo shows a Sri Lankan airline pilot who tested positive for the novel coronavirus   ,"['this', 'show', 'lankan', 'airline', 'pilot', 'tested', 'positive', 'novel', 'coronavirus']"
689,Staff of two Mumbai hotels have COVID positive cases   ,"['staff', 'mumbai', 'hotel', 'covid', 'positive', 'case']"
690,President Donald Trump announced a vaccine by Roche Diagnostics   ,"['president', 'donald', 'trump', 'announced', 'vaccine', 'roche', 'diagnostics']"
691,Narendra Modi is giving free masks in India   ,"['narendra', 'modi', 'giving', 'free', 'mask', 'india']"
692,Coronavirus patients were being arrested in Punjab  India   ,"['coronavirus', 'patient', 'arrested', 'punjab', 'india']"
693,Three thousand Ecuadorians are infected with coronavirus   ,"['three', 'thousand', 'ecuadorian', 'infected', 'coronavirus']"
694,The WHO approves anti malarial drug Chloroquine for COVID      ,"['approves', 'anti', 'malarial', 'drug', 'chloroquine', 'covid']"
695,Traditional cures and self checks for the coronavirus   ,"['traditional', 'cure', 'self', 'check', 'coronavirus']"
696,A dog vaccine can be used against coronavirus in people   ,"['vaccine', 'used', 'coronavirus', 'people']"
697,   minutes in a sauna will kill the coronavirus   ,"['minute', 'sauna', 'kill', 'coronavirus']"
698,Eating bananas prevents coronavirus   ,"['eating', 'banana', 'prevents', 'coronavirus']"
699,Italy has mandated no treatment of all elderly patients for coronavirus   ,"['italy', 'mandated', 'treatment', 'elderly', 'patient', 'coronavirus']"
700,All U S  citizens are entitled to      per week to stay at home to avoid spread of coronavirus   ,"['citizen', 'entitled', 'week', 'stay', 'home', 'avoid', 'spread', 'coronavirus']"
701,COVID    is a scripted narrative to justify closed borders or force residents to remain home   ,"['covid', 'scripted', 'narrative', 'justify', 'closed', 'border', 'force', 'resident', 'remain', 'home']"
702,Italy official Giulio Gallera  China lies to us  The date China provided is false  Italy has become Wuhan and the medical system has a breakdown   ,"['italy', 'official', 'giulio', 'gallera', 'china', 'date', 'china', 'provided', 'false', 'italy', 'become', 'wuhan', 'medical', 'system', 'breakdown']"
703,Coronil drops can help cure coronavirus   ,"['coronil', 'drop', 'help', 'cure', 'coronavirus']"
704,Police asked shops selling alcohol to restrict opening hours on St  Patrick s Day to lower the risk of house parties where coronavirus could be spread   ,"['police', 'asked', 'shop', 'selling', 'alcohol', 'restrict', 'opening', 'hour', 'patrick', 'lower', 'risk', 'house', 'party', 'coronavirus', 'could', 'spread']"
705,Video shows Chinese police crackdown on coronavirus patients   ,"['video', 'show', 'chinese', 'police', 'crackdown', 'coronavirus', 'patient']"
706,A graphic has been shared in multiple posts on Facebook alongside a claim it contains a quote from Philippine Vice President Leni Robredo that bats are the  enemy  in the novel coronavirus pandemic  The graphic is attributed to Inquirer net  a Philippine media outlet   ,"['shared', 'multiple', 'post', 'facebook', 'alongside', 'claim', 'contains', 'quote', 'philippine', 'vice', 'president', 'leni', 'robredo', 'enemy', 'novel', 'coronavirus', 'pandemic', 'attributed', 'inquirer', 'philippine', 'medium', 'outlet']"
707,A flyer offers official advice about the novel coronavirus from a Veterans Affairs  VA  healthcare system in the U S  state of Oregon   ,"['flyer', 'offer', 'official', 'advice', 'novel', 'coronavirus', 'veteran', 'affair', 'healthcare', 'system', 'state', 'oregon']"
708,A photo of a room lined with coffins shows Italian nationals killed during the novel coronavirus pandemic in        ,"['room', 'lined', 'coffin', 'show', 'italian', 'national', 'killed', 'novel', 'coronavirus', 'pandemic']"
709,   University of Nairobi students have tested positive for COVID      ,"['university', 'nairobi', 'student', 'tested', 'positive', 'covid']"
710,Senator of the Philippines Risa Hontiveros says she is  ready to get coughed on   and that  the police and military are more frightening than dying from the virus    ,"['senator', 'philippine', 'risa', 'hontiveros', 'ready', 'coughed', 'police', 'military', 'frightening', 'dying', 'virus']"
711,Philippines Vice President Leni Robredo says  bats  not the virus  are our enemy    ,"['philippine', 'vice', 'president', 'leni', 'robredo', 'virus', 'enemy']"
712,The WHO coronavirus test  was a bad test    ,"['coronavirus', 'test', 'test']"
713, All U S  citizens are entitled to      USD per week to stay at home to avoid the spread of COVID    novel coronavirus  starting            ,"['citizen', 'entitled', 'week', 'stay', 'home', 'avoid', 'spread', 'covid', 'novel', 'coronavirus', 'starting']"
714, People are going door to door in Colorado Springs stating they are COVID    testing so they can rob people    ,"['people', 'going', 'door', 'door', 'colorado', 'spring', 'stating', 'covid', 'testing', 'people']"
715, U S  deaths since          COVID         flu         abortion             ,"['death', 'since', 'covid', 'abortion']"
716,Says it was  unquestionably  not within his  legal authority  to postpone Illinois  primary election by changing the date or shifting to vote by mail   ,"['unquestionably', 'within', 'legal', 'authority', 'postpone', 'illinois', 'primary', 'election', 'changing', 'date', 'shifting', 'vote', 'mail']"
717,Novel coronavirus can be eliminated by drinking lots of water and gargling with warm water mixed with salt or vinegar   ,"['novel', 'coronavirus', 'eliminated', 'drinking', 'water', 'gargling', 'warm', 'water', 'mixed', 'salt', 'vinegar']"
718,President Trump s use of data for deaths from swine flu and seasonal flu   ,"['president', 'trump', 'data', 'death', 'swine', 'seasonal']"
719,Having a beard increases your chances of getting coronavirus   ,"['having', 'beard', 'increase', 'chance', 'getting', 'coronavirus']"
720,Taking a hot bath  breathing in hot steam or using a hand dryer to blow hot air up the nose are effective ways to prevent COVID     according to a lecturer in health sciences faculty at Ghanaian university   ,"['taking', 'bath', 'breathing', 'steam', 'using', 'hand', 'dryer', 'blow', 'nose', 'effective', 'prevent', 'covid', 'according', 'lecturer', 'health', 'science', 'faculty', 'ghanaian', 'university']"
721,An image shows a train transporting the COVID    virus   ,"['image', 'show', 'train', 'transporting', 'covid', 'virus']"
722,      Ecuadorians are infected with coronavirus   ,"['ecuadorian', 'infected', 'coronavirus']"
723, While all COVID    news has been going on  the U S  government has been sneakily trying to remove end to end encryption  which means  the government will be able to see all of your messages and listen to all of your calls    ,"['while', 'covid', 'news', 'going', 'government', 'sneakily', 'trying', 'remove', 'encryption', 'mean', 'government', 'able', 'message', 'listen', 'call']"
724,Did Donald Trump attempt to steal a COVID    vaccine from a German company and refuse testing kits from WHO   ,"['donald', 'trump', 'attempt', 'steal', 'covid', 'vaccine', 'german', 'company', 'refuse', 'testing']"
725,Clinics in the Philippines are turning away people with COVID    symptoms  because of a advisory from the department of health   ,"['clinic', 'philippine', 'turning', 'away', 'people', 'covid', 'symptom', 'advisory', 'department', 'health']"
726,Red soap and white handkerchiefs are good against the coronavirus   ,"['soap', 'white', 'handkerchief', 'good', 'coronavirus']"
727,Israel allegedly developed a COVID    vaccine   ,"['israel', 'allegedly', 'developed', 'covid', 'vaccine']"
728,Indian industrialist tweets that a specific mask can kill viruses   ,"['indian', 'industrialist', 'tweet', 'specific', 'mask', 'kill', 'virus']"
729,Cristiano Ronaldo s hotels to be turned into quarantine centres in Portugal   ,"['cristiano', 'ronaldo', 'hotel', 'turned', 'quarantine', 'centre', 'portugal']"
730,Chinese police crack down on suspected coronavirus patients   ,"['chinese', 'police', 'crack', 'suspected', 'coronavirus', 'patient']"
731,Ecuadorean President Lenin Moreno and family quarantined in luxury Galapagos home   ,"['ecuadorean', 'president', 'lenin', 'moreno', 'family', 'quarantined', 'luxury', 'galapagos', 'home']"
732,President Donald Trump in the next    to    hours will impose a nationwide  mandatory quarantine    ,"['president', 'donald', 'trump', 'next', 'hour', 'impose', 'nationwide', 'mandatory', 'quarantine']"
733,Gargling water with salt or vinegar  eliminates  the coronavirus   ,"['gargling', 'water', 'salt', 'vinegar', 'eliminates', 'coronavirus']"
734,Coronavirus pneumonia is similar to a dry cough and hot weather  garlic and hot water are remedies for COVID      ,"['coronavirus', 'pneumonia', 'similar', 'cough', 'weather', 'garlic', 'water', 'remedy', 'covid']"
735,Claims of cures for COVID    from multiple countries   ,"['claim', 'cure', 'covid', 'multiple', 'country']"
736,   Italians tourists don t want to leave Ethiopia and go back in Italy because of the coronavirus   ,"['italian', 'tourist', 'want', 'leave', 'ethiopia', 'back', 'italy', 'coronavirus']"
737,All baby formula providers are shipping formula for free during the coronavirus outbreak   ,"['baby', 'formula', 'provider', 'shipping', 'formula', 'free', 'coronavirus', 'outbreak']"
738,Coronavirus Outbreak Prompted Gun And Ammunition Policy Changes At Walmart   ,"['coronavirus', 'outbreak', 'prompted', 'ammunition', 'policy', 'change', 'walmart']"
739,Dallas student celebrating spring break collapses from coronavirus   ,"['dallas', 'student', 'celebrating', 'spring', 'break', 'collapse', 'coronavirus']"
740,Coronavirus is the least deadly virus   ,"['coronavirus', 'least', 'deadly', 'virus']"
741,Cristiano Ronaldo is turning his hotels into hospitals to fight coronavirus   ,"['cristiano', 'ronaldo', 'turning', 'hotel', 'hospital', 'fight', 'coronavirus']"
742,WalMart reducing hours of operation   ,"['walmart', 'reducing', 'hour', 'operation']"
743,Tanker train marked with  COVID     on its side   ,"['tanker', 'train', 'marked', 'covid', 'side']"
744,CDC warns people that morel mushroom increases coronavirus risk by        ,"['warns', 'people', 'morel', 'mushroom', 'increase', 'coronavirus', 'risk']"
745,Turmeric And Lemon Help Fight Against Coronavirus   ,"['turmeric', 'lemon', 'help', 'fight', 'against', 'coronavirus']"
746,A military Humvee labeled  COVID    quarantine team  was on Interstate     in Michigan   ,"['military', 'humvee', 'labeled', 'covid', 'quarantine', 'team', 'interstate', 'michigan']"
747,President Donald Trump is  announcing tomorrow that the U S  is going into quarantine for the next    days    ,"['president', 'donald', 'trump', 'announcing', 'tomorrow', 'going', 'quarantine', 'next']"
748,President Donald Trump  will evoke  sic  what is called the Stafford act  and  order a two week mandatory quarantine for the nation    ,"['president', 'donald', 'trump', 'evoke', 'called', 'stafford', 'order', 'week', 'mandatory', 'quarantine', 'nation']"
749, Now  as it stands  our health care system has adequate ventilators  ICU beds  medical professionals    ,"['stand', 'health', 'care', 'system', 'adequate', 'ventilator', 'medical', 'professional']"
750,Claim that Dr  Anthony Fauci s statement that the coronavirus death rate is    times that of the seasonal flu is  a claim without any scientific basis    ,"['claim', 'anthony', 'fauci', 'statement', 'coronavirus', 'death', 'rate', 'time', 'seasonal', 'claim', 'without', 'scientific', 'basis']"
751, Sunlight actually can kill the  novel coronavirus     ,"['sunlight', 'actually', 'kill', 'novel', 'coronavirus']"
752,Video shows problems faced by Chinese police while catching coronavirus infected people   ,"['video', 'show', 'problem', 'faced', 'chinese', 'police', 'catching', 'coronavirus', 'infected', 'people']"
753,Flu vaccine increases coronavirus risk      says military study   ,"['vaccine', 'increase', 'coronavirus', 'risk', 'military', 'study']"
754,Ecuadorian President Lenin Moreno and family quarantined in luxury Galapagos home   ,"['ecuadorian', 'president', 'lenin', 'moreno', 'family', 'quarantined', 'luxury', 'galapagos', 'home']"
755,No evidence that  G is being forcibly installed in schools   ,"['evidence', 'forcibly', 'installed', 'school']"
756,The government is closing businesses to stop the spread of coronavirus even though  the numbers are nothing compared to H N  or Ebola  Everyone needs to realize our government is up to something     ,"['government', 'closing', 'business', 'stop', 'spread', 'coronavirus', 'even', 'though', 'number', 'nothing', 'compared', 'ebola', 'everyone', 'need', 'realize', 'government', 'something']"
757,Photos show animals returning to clear Venice canals   ,"['photo', 'show', 'animal', 'returning', 'clear', 'venice', 'canal']"
758,A charitable hospital in Pakistan charged patients for novel coronavirus tests   ,"['charitable', 'hospital', 'pakistan', 'charged', 'patient', 'novel', 'coronavirus', 'test']"
759,Claim that football star Cristiano Ronaldo has converted his hotel chain into coronavirus hospitals   ,"['claim', 'football', 'star', 'cristiano', 'ronaldo', 'converted', 'hotel', 'chain', 'coronavirus', 'hospital']"
760,The novel coronavirus is not new   ,"['novel', 'coronavirus']"
761,Ugandan president announces the postponement of elections   ,"['ugandan', 'president', 'announces', 'postponement', 'election']"
762,A video shows how the coronavirus is transmitted between people  ,"['show', 'coronavirus', 'transmitted', 'people']"
763,Chinese intelligence officer reveals coronavirus is a bioweapon   ,"['chinese', 'intelligence', 'officer', 'reveals', 'coronavirus', 'bioweapon']"
764,Indian Daily Reports That Wife Of A Positive Patient Ran Away  did not comply with the authorities and tested positive   ,"['indian', 'daily', 'report', 'that', 'wife', 'positive', 'patient', 'away', 'comply', 'authority', 'tested', 'positive']"
765,Audio claiming India would be put under a complete lockdown   ,"['audio', 'claiming', 'india', 'would', 'complete', 'lockdown']"
766,A meme posted offers mixed advice   some true  some false   about coronavirus protection   ,"['meme', 'posted', 'offer', 'mixed', 'advice', 'true', 'false', 'coronavirus', 'protection']"
767,Four young people have been hospitalized with coronavirus  exacerbated by the use of Ibuprofen   ,"['four', 'young', 'people', 'hospitalized', 'coronavirus', 'exacerbated', 'ibuprofen']"
768, Bill Gates told us about the coronavirus in         ,"['bill', 'gate', 'told', 'coronavirus']"
769,Graphics with information about COVID    containing UNICEF branding and inaccurate information   ,"['graphic', 'information', 'covid', 'containing', 'unicef', 'branding', 'inaccurate', 'information']"
770,A situation update allegedly from Kenya s Citizen TV stating the number of COVID    cases   ,"['situation', 'update', 'allegedly', 'kenya', 'citizen', 'stating', 'number', 'covid', 'case']"
771,A meme shows an image of fully stocked shelves of toilet paper  purportedly during the      H N  outbreak  above barren shelves during the ongoing COVID    pandemic   ,"['meme', 'show', 'image', 'fully', 'stocked', 'shelf', 'toilet', 'paper', 'purportedly', 'outbreak', 'barren', 'shelf', 'ongoing', 'covid', 'pandemic']"
772,A video viewed more than     million times on Facebook urges people to inhale steam to  kill  the novel coronavirus   ,"['viewed', 'million', 'time', 'facebook', 'urge', 'people', 'inhale', 'steam', 'kill', 'novel', 'coronavirus']"
773,A video has been viewed thousands of times in multiple posts on Facebook  Twitter and YouTube which claim it shows Chinese police arresting people infected with the novel coronavirus   ,"['viewed', 'thousand', 'time', 'multiple', 'post', 'facebook', 'twitter', 'youtube', 'claim', 'show', 'chinese', 'police', 'arresting', 'people', 'infected', 'novel', 'coronavirus']"
774,Research made by scientists from the University of Queensland in Australia has proven that bananas improve your immune system and help prevent COVID      ,"['research', 'made', 'scientist', 'university', 'queensland', 'australia', 'proven', 'banana', 'improve', 'immune', 'system', 'help', 'prevent', 'covid']"
775,The WHO offered the testing kits that they have available and to give it to us now  We refused them  We did not want to buy them    ,"['offered', 'testing', 'available', 'give', 'refused', 'want']"
776,President Donald Trump  cut funding to the CDC    fired the Pandemic Response Team    refused WHO tests  and  wasted two weeks calling this outbreak a  Democrat hoax     ,"['president', 'donald', 'trump', 'funding', 'fired', 'pandemic', 'response', 'team', 'refused', 'test', 'wasted', 'week', 'calling', 'outbreak', 'democrat', 'hoax']"
777,The claim that there is a cure from the new coronavirus  The name of the drug is decametoxine   ,"['claim', 'cure', 'coronavirus', 'name', 'drug', 'decametoxine']"
778, COVID    started because we eat animals    ,"['covid', 'started', 'animal']"
779, George Soros owns the WuXi PHARMA LAB located in Wuhan  China  where COVID    was developed and conveniently broke out    ,"['george', 'soros', 'owns', 'wuxi', 'pharma', 'located', 'wuhan', 'china', 'covid', 'developed', 'conveniently', 'broke']"
780,Coronavirus is just  the damn flu    ,"['coronavirus', 'damn']"
781, So Oscar Health  the company tapped by Trump to profit from covid tests  is a Kushner company  Imagine that  profits over national safety    ,"['oscar', 'health', 'company', 'tapped', 'trump', 'profit', 'covid', 'test', 'kushner', 'company', 'imagine', 'profit', 'national', 'safety']"
782,Says businesses will give you free baby formula during the coronavirus outbreak   ,"['business', 'give', 'free', 'baby', 'formula', 'coronavirus', 'outbreak']"
783,Footballer Ronaldo is turning his hotels into COVID    hospitals   ,"['footballer', 'ronaldo', 'turning', 'hotel', 'covid', 'hospital']"
784,No coronavirus in Nigeria yet  according to pastor   ,"['coronavirus', 'nigeria', 'according', 'pastor']"
785,Cristiano Ronaldo is going to transform his hotels into hospitals   ,"['cristiano', 'ronaldo', 'going', 'transform', 'hotel', 'hospital']"
786,Did genetic mutations cause the coronavirus to become more dangerous   ,"['genetic', 'mutation', 'cause', 'coronavirus', 'become', 'dangerous']"
787,A graphic claims that gargling warm water with salt or vinegar can eliminate the novel coronavirus   ,"['claim', 'gargling', 'warm', 'water', 'salt', 'vinegar', 'eliminate', 'novel', 'coronavirus']"
788,Cristiano Ronaldo will convert his hotels into coronavirus hospitals   ,"['cristiano', 'ronaldo', 'convert', 'hotel', 'coronavirus', 'hospital']"
789,Curfew issued for Bossier city due to coronavirus   ,"['curfew', 'issued', 'bossier', 'city', 'coronavirus']"
790,CEO Resignations Are Linked To Global Conspiracy   ,"['resignation', 'linked', 'global', 'conspiracy']"
791,Coronavirus is found in crab legs   ,"['coronavirus', 'found', 'crab']"
792,Military on streets of Philadelphia preparing to invoke martial law and bring citizens to FEMA camps   ,"['military', 'street', 'philadelphia', 'preparing', 'invoke', 'martial', 'bring', 'citizen', 'fema', 'camp']"
793,Article overstates threat of coronavirus   ,"['article', 'overstates', 'threat', 'coronavirus']"
794,Drinking lots of water and gargling with warm water and salt or vinegar eliminates the novel coronavirus  Spread the information as you can save someone   ,"['drinking', 'water', 'gargling', 'warm', 'water', 'salt', 'vinegar', 'eliminates', 'novel', 'coronavirus', 'spread', 'information', 'save', 'someone']"
795,Ireland is going into a full lockdown   ,"['ireland', 'going', 'full', 'lockdown']"
796,A post shows a rail freight tanker with  COVID     stamped on one side   ,"['show', 'rail', 'freight', 'tanker', 'covid', 'stamped', 'side']"
797,A graphic has been shared thousands of times on Facebook which claims that gargling warm water with salt or vinegar can eliminate the novel coronavirus  COVID      ,"['shared', 'thousand', 'time', 'facebook', 'claim', 'gargling', 'warm', 'water', 'salt', 'vinegar', 'eliminate', 'novel', 'coronavirus', 'covid']"
798,Gargling salt with water  eliminates  the      novel coronavirus   ,"['gargling', 'salt', 'water', 'eliminates', 'novel', 'coronavirus']"
799,Former senator Antonio Trillanes IV allegedly posted a tweet saying that President Rodrigo Duterte is to blame for calamities the country has been facing  including the novel coronavirus pandemic   ,"['former', 'senator', 'antonio', 'trillanes', 'allegedly', 'posted', 'tweet', 'saying', 'president', 'rodrigo', 'duterte', 'blame', 'calamity', 'country', 'facing', 'including', 'novel', 'coronavirus', 'pandemic']"
800,Astrologers had predicted the appearance of a coronavirus in        ,"['astrologer', 'predicted', 'appearance', 'coronavirus']"
801, Italy has decided not to treat their elderly for this virus    ,"['italy', 'decided', 'treat', 'elderly', 'virus']"
802,Says that  over a    minute period that we had the press conference  on the coronavirus on March           the stock market set  an all time record    ,"['minute', 'period', 'press', 'conference', 'coronavirus', 'march', 'stock', 'market', 'time', 'record']"
803,A Cuban vaccine cured       people infected with the new coronavirus   ,"['cuban', 'vaccine', 'cured', 'people', 'infected', 'coronavirus']"
804,Warm water with salt prevents the new coronavirus infection  killing it in the throat   ,"['warm', 'water', 'salt', 'prevents', 'coronavirus', 'infection', 'killing', 'throat']"
805,The Simpsons had already predicted the coronavirus pandemic   ,"['simpson', 'already', 'predicted', 'coronavirus', 'pandemic']"
806,Gargling warm salt water or vinegar prevents coronavirus infection   ,"['gargling', 'warm', 'salt', 'water', 'vinegar', 'prevents', 'coronavirus', 'infection']"
807,If you drink water with lemon  it prevents the new coronavirus   ,"['drink', 'water', 'lemon', 'prevents', 'coronavirus']"
808,LGBTQ people in the US are demanding to be treated first for coronavirus   ,"['lgbtq', 'people', 'demanding', 'treated', 'first', 'coronavirus']"
809,Claim from an  uncle  who  graduated with a master s degree  and worked at Shenzhen Hospital offers advice on COVID    symptoms and treatment   ,"['claim', 'uncle', 'graduated', 'master', 'degree', 'worked', 'shenzhen', 'hospital', 'offer', 'advice', 'covid', 'symptom', 'treatment']"
810,False COVID    hotline number shared in Canada   ,"['false', 'covid', 'hotline', 'number', 'shared', 'canada']"
811,Israel has no cases of the coronavirus because it developed a cure   ,"['israel', 'case', 'coronavirus', 'developed', 'cure']"
812,Books predicted the coronavirus before it happened   ,"['book', 'predicted', 'coronavirus', 'happened']"
813,India announced holidays for four states   ,"['india', 'announced', 'holiday', 'four', 'state']"
814,Israel and USA have come up with a vaccine   ,"['israel', 'come', 'vaccine']"
815,A misleading chart being spread on Facebook  erroneously dubbing the new coronavirus the  least deadly virus    ,"['misleading', 'chart', 'spread', 'facebook', 'erroneously', 'dubbing', 'coronavirus', 'least', 'deadly', 'virus']"
816,Indian Ministry of Health and Family Welfare issued an office memorandum declaring compulsory holiday in four Indian states   ,"['indian', 'ministry', 'health', 'family', 'welfare', 'issued', 'office', 'memorandum', 'declaring', 'compulsory', 'holiday', 'four', 'indian', 'state']"
817,People are panicked about a COVID    case at the Dakar Airport   ,"['people', 'panicked', 'covid', 'case', 'dakar', 'airport']"
818,Saddam Hussein explaining what is coronavirus about   ,"['saddam', 'hussein', 'explaining', 'coronavirus']"
819,The coronavirus scare began after impeachment   ,"['coronavirus', 'scare', 'began', 'impeachment']"
820,Supermarkets are recalling coronavirus infected toilet paper   ,"['supermarket', 'recalling', 'coronavirus', 'infected', 'toilet', 'paper']"
821,Man did pass along coronavirus infection at a WalMart in Louisiana   ,"['along', 'coronavirus', 'infection', 'walmart', 'louisiana']"
822,NYC did implement a citywide quarantine   ,"['implement', 'citywide', 'quarantine']"
823,Israel has manufactured the coronavirus vaccine  ,"['israel', 'manufactured', 'coronavirus', 'vaccine']"
824,Central government has announced blanket holiday for schools colleges in   states in India   ,"['central', 'government', 'announced', 'blanket', 'holiday', 'school', 'college', 'state', 'india']"
825,The health service in Ireland is asking people to stockpile food   ,"['health', 'service', 'ireland', 'asking', 'people', 'stockpile', 'food']"
826,Ireland is going into a  Status Red  lockdown with the military patrolling the streets   ,"['ireland', 'going', 'status', 'lockdown', 'military', 'patrolling', 'street']"
827,COVID    Breeds Rapidly In Toilet Paper   ,"['covid', 'breed', 'rapidly', 'toilet', 'paper']"
828,Staff of Gold Coast Hospital in Australia has gifted a volleyball to Tom Hanks in quarantine   ,"['staff', 'gold', 'coast', 'hospital', 'australia', 'gifted', 'volleyball', 'hank', 'quarantine']"
829,An infographic has been shared thousands of times in multiple Facebook posts which claim it shows a nine day timeline of the symptoms of the novel coronavirus   ,"['infographic', 'shared', 'thousand', 'time', 'multiple', 'facebook', 'post', 'claim', 'show', 'nine', 'timeline', 'symptom', 'novel', 'coronavirus']"
830,A post shared more than         times on Facebook includes a video of a woman turning a baby wipe into a face mask to  protect against coronavirus    ,"['shared', 'time', 'facebook', 'includes', 'woman', 'turning', 'baby', 'wipe', 'face', 'mask', 'protect', 'coronavirus']"
831,Eleven coronavirus patients visited malls and hotels in Metro Manila that are part of a  confidential list    ,"['eleven', 'coronavirus', 'patient', 'visited', 'mall', 'hotel', 'metro', 'manila', 'part', 'confidential', 'list']"
832,A vaccine for the      novel coronavirus has been found and there will be no more deaths due to the coronavirus   ,"['vaccine', 'novel', 'coronavirus', 'found', 'death', 'coronavirus']"
833, It s actually the safest time to fly    ,"['actually', 'safest', 'time']"
834,Drinking  water a lot and gargling with warm water and salt or vinegar eliminates  the coronavirus   ,"['drinking', 'water', 'gargling', 'warm', 'water', 'salt', 'vinegar', 'eliminates', 'coronavirus']"
835,In South Florida  all children and adults must remain in their homes  due to coronavirus   ,"['south', 'florida', 'child', 'adult', 'must', 'remain', 'home', 'coronavirus']"
836, President Trump  COVID    coronavirus  U S  cases        U S  deaths      panic level  mass hysteria  President Obama  H N  virus  U S  cases       million  U S  deaths          panic level  totally chill  Do you all see how the media can manipulate your life    ,"['president', 'trump', 'covid', 'coronavirus', 'case', 'death', 'panic', 'level', 'mass', 'hysteria', 'president', 'obama', 'virus', 'case', 'million', 'death', 'panic', 'level', 'totally', 'chill', 'medium', 'manipulate', 'life']"
837,Says The New York Times exposed the  real reason behind coronavirus hype  Crash the market to harm Trump s re election chances    ,"['york', 'time', 'exposed', 'real', 'reason', 'behind', 'coronavirus', 'hype', 'crash', 'market', 'harm', 'trump', 'election', 'chance']"
838,Picture shows the Mecca totally empty   ,"['picture', 'show', 'mecca', 'totally', 'empty']"
839,Saddam Hussein explains what coronavirus is about   ,"['saddam', 'hussein', 'explains', 'coronavirus']"
840,A post says that if you hold your breath you can tell if you are infected with Covid    or not   ,"['hold', 'breath', 'tell', 'infected', 'covid']"
841,Claim that disease outbreaks and pandemics correspond with election years   ,"['claim', 'disease', 'outbreak', 'pandemic', 'correspond', 'election', 'year']"
842,Photo purportedly showing Tom Hanks holding a volleyball  claiming the hospital staff in Australia gave it to him as a tribute and to cheer him up while in quarantine   ,"['photo', 'purportedly', 'showing', 'hank', 'holding', 'volleyball', 'claiming', 'hospital', 'staff', 'australia', 'gave', 'tribute', 'cheer', 'quarantine']"
843,Infographic claiming that the coronavirus pandemic fits a pattern of viral outbreaks that occur every     years   ,"['infographic', 'claiming', 'coronavirus', 'pandemic', 'pattern', 'viral', 'outbreak', 'occur', 'every', 'year']"
844,Photos show empty shelves at supermarkets   ,"['photo', 'show', 'empty', 'shelf', 'supermarket']"
845,A video purports to show body bags for virus victims in Italy   ,"['purport', 'show', 'body', 'virus', 'victim', 'italy']"
846,News channels suggest drinking tulsi and noni juice will help prevent the novel coronavirus   ,"['news', 'channel', 'suggest', 'drinking', 'tulsi', 'noni', 'juice', 'help', 'prevent', 'novel', 'coronavirus']"
847,OMS staff member is spreading coronavirus on purpose   ,"['staff', 'member', 'spreading', 'coronavirus', 'purpose']"
848,The U S  presidential election is canceled due to coronavirus   ,"['presidential', 'election', 'canceled', 'coronavirus']"
849,Australian hospital staff rolled in a Wilson volleyball to keep Tom Hanks company in quarantine   ,"['australian', 'hospital', 'staff', 'rolled', 'wilson', 'volleyball', 'keep', 'hank', 'company', 'quarantine']"
850,A former and controversial CIA officer said coronavirus was made in a lab   ,"['former', 'controversial', 'officer', 'said', 'coronavirus', 'made']"
851,Turmeric and lemon can cure the coronavirus   ,"['turmeric', 'lemon', 'cure', 'coronavirus']"
852,Drinking water every    minutes will protect you from getting coronavirus   ,"['drinking', 'water', 'every', 'minute', 'protect', 'getting', 'coronavirus']"
853,You can check for coronavirus by holding your breath for    seconds   ,"['check', 'coronavirus', 'holding', 'breath', 'second']"
854,Says Tom Hanks has a volleyball to keep him company while he s quarantined   ,"['hank', 'volleyball', 'keep', 'company', 'quarantined']"
855,Of the Trump administration s European travel restrictions that exempt the U K    Well  you can just get into the Chunnel  and you ll be in the U K    ,"['trump', 'administration', 'european', 'travel', 'restriction', 'exempt', 'well', 'chunnel']"
856,A video has been viewed hundreds of thousands of times on Facebook  Twitter and YouTube alongside a claim it shows a shaman curing a novel coronavirus patient in Malaysia   ,"['viewed', 'hundred', 'thousand', 'time', 'facebook', 'twitter', 'youtube', 'alongside', 'claim', 'show', 'shaman', 'curing', 'novel', 'coronavirus', 'patient', 'malaysia']"
